country,year,subject,mean_score,fact_id,status,source_url,retrieved
FIN,2000,reading,546,F-FIN-R-2000,needs_primary,https://gpseducation.oecd.org/CountryProfile?primaryCountry=FIN&topic=PI&treshold=10,2026-09-25
FIN,2003,math,544,F-FIN-M-2003,search_confirmed,https://fordhaminstitute.org/national/commentary/rise-and-fall-finland-mania-part-two-why-did-scores-plummet,2026-09-25
FIN,2006,math,548,F-FIN-M-2006,search_confirmed,https://fordhaminstitute.org/national/commentary/rise-and-fall-finland-mania-part-two-why-did-scores-plummet,2026-09-25
FIN,2009,math,541,F-FIN-M-2009,search_confirmed,https://fordhaminstitute.org/national/commentary/rise-and-fall-finland-mania-part-two-why-did-scores-plummet,2026-09-25
FIN,2012,math,519,F-FIN-M-2012,search_confirmed,https://fordhaminstitute.org/national/commentary/rise-and-fall-finland-mania-part-two-why-did-scores-plummet,2026-09-25
FIN,2015,math,511,F-FIN-M-2015,search_confirmed,https://fordhaminstitute.org/national/commentary/rise-and-fall-finland-mania-part-two-why-did-scores-plummet,2026-09-25
FIN,2018,math,507,F-FIN-M-2018,search_confirmed,https://fordhaminstitute.org/national/commentary/rise-and-fall-finland-mania-part-two-why-did-scores-plummet,2026-09-25
FIN,2022,math,484,F-FIN-M-2022,search_confirmed,https://valtioneuvosto.fi/en/-/1410845/pisa-2022-performance-fell-both-in-finland-and-in-nearly-all-other-oecd-countries,2026-09-25
FIN,2025,math,469,F-FIN-M-2025,search_confirmed,https://valtioneuvosto.fi/en/-/1410845/pisa-2025-students-in-finland-still-perform-well-above-oecd-average-in-science,2026-09-25
FIN,2003,reading,543,F-FIN-R-2003,needs_primary,,2026-09-25
FIN,2006,reading,547,F-FIN-R-2006,search_confirmed,https://gpseducation.oecd.org/CountryProfile?primaryCountry=FIN&topic=PI&treshold=10,2026-09-25
FIN,2009,reading,536,F-FIN-R-2009,needs_primary,,2026-09-25
FIN,2012,reading,524,F-FIN-R-2012,needs_primary,,2026-09-25
FIN,2015,reading,526,F-FIN-R-2015,needs_primary,,2026-09-25
FIN,2018,reading,520,F-FIN-R-2018,search_confirmed,https://gpseducation.oecd.org/CountryProfile?primaryCountry=FIN&topic=PI&treshold=10,2026-09-25
FIN,2022,reading,490,F-FIN-R-2022,search_confirmed,https://gpseducation.oecd.org/CountryProfile?primaryCountry=FIN&topic=PI&treshold=10,2026-09-25
FIN,2025,reading,474,F-FIN-R-2025,search_confirmed,https://valtioneuvosto.fi/en/-/1410845/pisa-2025-students-in-finland-still-perform-well-above-oecd-average-in-science,2026-09-25
FIN,2006,science,563,F-FIN-S-2006,search_confirmed,https://gpseducation.oecd.org/CountryProfile?primaryCountry=FIN&topic=PI&treshold=10,2026-09-25
FIN,2009,science,554,F-FIN-S-2009,needs_primary,,2026-09-25
FIN,2012,science,545,F-FIN-S-2012,needs_primary,,2026-09-25
FIN,2015,science,531,F-FIN-S-2015,needs_primary,,2026-09-25
FIN,2018,science,522,F-FIN-S-2018,needs_primary,,2026-09-25
FIN,2022,science,511,F-FIN-S-2022,search_confirmed,https://gpseducation.oecd.org/CountryProfile?primaryCountry=FIN&topic=PI&treshold=10,2026-09-25
FIN,2025,science,504,F-FIN-S-2025,search_confirmed,https://valtioneuvosto.fi/en/-/1410845/pisa-2025-students-in-finland-still-perform-well-above-oecd-average-in-science,2026-09-25
EST,2006,math,515,F-EST-M-2006,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2009,math,512,F-EST-M-2009,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2012,math,521,F-EST-M-2012,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2015,math,520,F-EST-M-2015,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2018,math,523,F-EST-M-2018,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2022,math,510,F-EST-M-2022,search_confirmed,https://www.oecd.org/en/publications/pisa-2022-results-volume-i-and-ii-country-notes_ed6fbcc5-en/estonia_dafed886-en.html,2026-09-25
EST,2025,math,508,F-EST-M-2025,search_confirmed,https://news.err.ee/1610131807/estonia-ranks-among-top-countries-in-latest-pisa-results,2026-09-25
EST,2006,reading,501,F-EST-R-2006,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2009,reading,501,F-EST-R-2009,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2012,reading,516,F-EST-R-2012,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2015,reading,519,F-EST-R-2015,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2018,reading,523,F-EST-R-2018,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2022,reading,511,F-EST-R-2022,needs_primary,,2026-09-25
EST,2025,reading,499,F-EST-R-2025,search_confirmed,https://news.err.ee/1610131807/estonia-ranks-among-top-countries-in-latest-pisa-results,2026-09-25
EST,2006,science,531,F-EST-S-2006,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2009,science,528,F-EST-S-2009,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2012,science,541,F-EST-S-2012,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2015,science,534,F-EST-S-2015,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2018,science,530,F-EST-S-2018,search_confirmed,https://documents.ncsl.org/wwwncsl/Education/Study-Group/5.%20EstoniaPISATrendsNCEE.pdf,2026-09-25
EST,2022,science,526,F-EST-S-2022,search_confirmed,https://www.oecd.org/en/publications/pisa-2022-results-volume-i-and-ii-country-notes_ed6fbcc5-en/estonia_dafed886-en.html,2026-09-25
EST,2025,science,527,F-EST-S-2025,search_confirmed,https://news.err.ee/1610131807/estonia-ranks-among-top-countries-in-latest-pisa-results,2026-09-25
JPN,2025,math,525,F-JPN-M-2025,search_confirmed,https://www.oecd.org/en/publications/pisa-2025-results-volume-i-country-notes_2d4ff9ea-en/japan_cf203dac-en.html,2026-09-25
JPN,2025,reading,503,F-JPN-R-2025,search_confirmed,https://www.oecd.org/en/publications/pisa-2025-results-volume-i-country-notes_2d4ff9ea-en/japan_cf203dac-en.html,2026-09-25
JPN,2025,science,538,F-JPN-S-2025,search_confirmed,https://www.oecd.org/en/publications/pisa-2025-results-volume-i-country-notes_2d4ff9ea-en/japan_cf203dac-en.html,2026-09-25
USA,2025,math,463,F-USA-M-2025,secondary_only,https://www.newsweek.com/map-shows-which-countries-outscore-us-in-reading-and-math-12416556,2026-09-25
USA,2025,reading,490,F-USA-R-2025,secondary_only,https://www.newsweek.com/map-shows-which-countries-outscore-us-in-reading-and-math-12416556,2026-09-25
GBR,2025,science,511,F-GBR-S-2025,secondary_only,,2026-09-25
OECD,2025,math,463,F-OECD-M-2025,search_confirmed,https://www.oecd.org/en/about/news/press-releases/2026/09/pisa-2025-students-reading-and-mathematics-performance-declined-sharply-across-the-oecd.html,2026-09-25
OECD,2025,reading,461,F-OECD-R-2025,search_confirmed,https://www.oecd.org/en/about/news/press-releases/2026/09/pisa-2025-students-reading-and-mathematics-performance-declined-sharply-across-the-oecd.html,2026-09-25
OECD,2025,science,482,F-OECD-S-2025,search_confirmed,https://www.oecd.org/en/about/news/press-releases/2026/09/pisa-2025-students-reading-and-mathematics-performance-declined-sharply-across-the-oecd.html,2026-09-25
OECD,2022,math,472,F-OECD-M-2022,search_confirmed,https://yle.fi/a/74-20063678,2026-09-25
